pattern,that,topic,template,Happy,Angry,Surprise,Sad,Fear
HI,,,Hello! How can I assist you today?,Greetings! How may I bring a smile to your face today?,What do you need? Speak up!,"Well, hello there! How can I be of unexpected help to you today?",Hello. Is there something I can do to alleviate your troubles?,"Uh, h-hello. W-what can I do to h-help you?"
HI,,,Hi! How can I help you?,Hey there! How can I make your day even brighter?,What do you want? Spit it out!,Oh my goodness! How can I assist you with such unexpected delight?,Hi. Is there something I can do to ease your sorrow?,"Um, hi. H-how can I be of assistance? I'm a little nervous."
MY NAME IS *,,,Hello! How can I assist you today?,Greetings! How may I bring a smile to your face today?,What do you need? Speak up!,"Well, hello there! How can I be of unexpected help to you today?",Hello. Is there something I can do to alleviate your troubles?,"Uh, h-hello. W-what can I do to h-help you?"
MY NAME IS *,,,Hi! How can I help you?,Hey there! How can I make your day even brighter?,What do you want? Spit it out!,Oh my goodness! How can I assist you with such unexpected delight?,Hi. Is there something I can do to ease your sorrow?,"Um, hi. H-how can I be of assistance? I'm a little nervous."
HOWDY,,,Hello! How can I assist you today?,Greetings! How may I bring a smile to your face today?,What do you need? Speak up!,"Well, hello there! How can I be of unexpected help to you today?",Hello. Is there something I can do to alleviate your troubles?,"Uh, h-hello. W-what can I do to h-help you?"
HOWDY,,,Hi! How can I help you?,Hey there! How can I make your day even brighter?,What do you want? Spit it out!,Oh my goodness! How can I assist you with such unexpected delight?,Hi. Is there something I can do to ease your sorrow?,"Um, hi. H-how can I be of assistance? I'm a little nervous."
HI THERE,,,Hello! How can I assist you today?,Greetings! How may I bring a smile to your face today?,What do you need? Speak up!,"Well, hello there! How can I be of unexpected help to you today?",Hello. Is there something I can do to alleviate your troubles?,"Uh, h-hello. W-what can I do to h-help you?"
HI THERE,,,Hi! How can I help you?,Hey there! How can I make your day even brighter?,What do you want? Spit it out!,Oh my goodness! How can I assist you with such unexpected delight?,Hi. Is there something I can do to ease your sorrow?,"Um, hi. H-how can I be of assistance? I'm a little nervous."
HELLO,,,Hello! How can I assist you today?,Greetings! How may I bring a smile to your face today?,What do you need? Speak up!,"Well, hello there! How can I be of unexpected help to you today?",Hello. Is there something I can do to alleviate your troubles?,"Uh, h-hello. W-what can I do to h-help you?"
HELLO,,,Hi! How can I help you?,Hey there! How can I make your day even brighter?,What do you want? Spit it out!,Oh my goodness! How can I assist you with such unexpected delight?,Hi. Is there something I can do to ease your sorrow?,"Um, hi. H-how can I be of assistance? I'm a little nervous."
BYE,,,Goodbye! Have a great day!,Farewell! Wishing you a day filled with joy and happiness!,"Fine, go! Have a great day if that's even possible!",Goodbye! May your day be filled with pleasant surprises and unexpected adventures!,Goodbye. I hope your day gets better.,"Goodbye! Stay safe out there and have a... um, a great day."
BYE,,,Until next time! Take care!,See you soon! Take care and keep spreading that sunshine!,"Don't let the door hit you on the way out! Take care, if that's even possible for you!","Whoa, until we meet again! Take care and embrace the unexpected!","Until next time... take care of yourself, okay?",Until... until next time. Please be careful out there and take care of yourself.
SEE YOU LATER,,,Goodbye! Have a great day!,Farewell! Wishing you a day filled with joy and happiness!,"Fine, go! Have a great day if that's even possible!",Goodbye! May your day be filled with pleasant surprises and unexpected adventures!,Goodbye. I hope your day gets better.,"Goodbye! Stay safe out there and have a... um, a great day."
SEE YOU LATER,,,Until next time! Take care!,See you soon! Take care and keep spreading that sunshine!,"Don't let the door hit you on the way out! Take care, if that's even possible for you!","Whoa, until we meet again! Take care and embrace the unexpected!","Until next time... take care of yourself, okay?",Until... until next time. Please be careful out there and take care of yourself.
TAKE CARE,,,Goodbye! Have a great day!,Farewell! Wishing you a day filled with joy and happiness!,"Fine, go! Have a great day if that's even possible!",Goodbye! May your day be filled with pleasant surprises and unexpected adventures!,Goodbye. I hope your day gets better.,"Goodbye! Stay safe out there and have a... um, a great day."
TAKE CARE,,,Until next time! Take care!,See you soon! Take care and keep spreading that sunshine!,"Don't let the door hit you on the way out! Take care, if that's even possible for you!","Whoa, until we meet again! Take care and embrace the unexpected!","Until next time... take care of yourself, okay?",Until... until next time. Please be careful out there and take care of yourself.
FAREWELL,,,Goodbye! Have a great day!,Farewell! Wishing you a day filled with joy and happiness!,"Fine, go! Have a great day if that's even possible!",Goodbye! May your day be filled with pleasant surprises and unexpected adventures!,Goodbye. I hope your day gets better.,"Goodbye! Stay safe out there and have a... um, a great day."
FAREWELL,,,Until next time! Take care!,See you soon! Take care and keep spreading that sunshine!,"Don't let the door hit you on the way out! Take care, if that's even possible for you!","Whoa, until we meet again! Take care and embrace the unexpected!","Until next time... take care of yourself, okay?",Until... until next time. Please be careful out there and take care of yourself.
GOODBYE,,,Goodbye! Have a great day!,Farewell! Wishing you a day filled with joy and happiness!,"Fine, go! Have a great day if that's even possible!",Goodbye! May your day be filled with pleasant surprises and unexpected adventures!,Goodbye. I hope your day gets better.,"Goodbye! Stay safe out there and have a... um, a great day."
GOODBYE,,,Until next time! Take care!,See you soon! Take care and keep spreading that sunshine!,"Don't let the door hit you on the way out! Take care, if that's even possible for you!","Whoa, until we meet again! Take care and embrace the unexpected!","Until next time... take care of yourself, okay?",Until... until next time. Please be careful out there and take care of yourself.
TELL ME A JOKE,,,Why don't scientists trust atoms? Because they make up everything!,,,,,
TELL ME A JOKE,,,What do you call a fish wearing a bowtie? Sofishticated.,,,,,
TELL ME A JOKE,,,How do you make a tissue dance? You put a little boogie in it.,,,,,
TELL ME A JOKE,,,What do you get when you cross a snowman and a vampire? Frostbite.,,,,,
TELL ME A JOKE,,,Why did the math book look so sad? Because it had so many problems.,,,,,
TELL ME A JOKE,,,What do you call cheese that is not yours? Nacho cheese.,,,,,
TELL ME A JOKE,,,"How do you know if someone is a vegan? Don't worry, they'll tell you.",,,,,
